ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
28713581798,Infinix Hot 50 Pro+ 8/256GB - Up to 16GB Extended RAM - Helio G100 - 6.78 inch 3D Curved 120Hz Amoled - 50MP - 5000 mAh - NFC,Rp2.499.000,"12,7RB",Infinix Official Shop,0.5%,Rp12.495,https://shopee.co.id/product/342033216/28713581798,https://s.shopee.co.id/4L3J7roKZe
14581251449,Promo MAKITA Mesin Bor Tangan Baterai Cordless Drill 12V Obeng Kayu Tembok Besi 10Mm Apr Jld Gtools,Rp59.999,165,OFFICIAL APR,3%,Rp1.800,https://shopee.co.id/product/724711375/14581251449,https://s.shopee.co.id/4VMjKAnhEh
24764320384,paket 4 pcs celana pendek pria wanita comfort diamond knit celana boardshort santai pria wanita,Rp103.000,"8,8RB",Ross Store,12%,Rp12.360,https://shopee.co.id/product/228562443/24764320384,https://s.shopee.co.id/4fg9WTn3tk
26504706090,MIXIO W13 W14 Mic Wireless Clip on Microphone Mikrofon Lavalier HP Plug & Play,Rp169.000,16RB,MIXIO Official Store,6.5%,Rp10.985,https://shopee.co.id/product/366300546/26504706090,https://s.shopee.co.id/4pzZimmQYn
27955004984,BELI 1 DAPAT 3 (HEYMINE PARFUM AROMA | VANILLA -VANILLA CARAMEL -CHOCOLATE VANILLA -35ML,Rp19.500,33RB,finishshop.co,10%,Rp1.950,https://shopee.co.id/product/874853553/27955004984,https://s.shopee.co.id/50Izv5lnDq
24576927733,CrystalPlay Tempered Glass Privacy Clear Glossy Auto Align Tech / Easy App Premium Screen Protector X 11 12 13 14 15 16 PLUS PRO MAX Screen Guard Gorilla Glass,Rp85.000,"27,1RB",CrystalPlay Official Store,11.5%,Rp9.775,https://shopee.co.id/product/1130229096/24576927733,https://s.shopee.co.id/5AcQ7Ol9st
23464751240,ZAP Beauty Series 6x IPL Rejuvenation,Rp1.049.000,751,ZAP Official Shop,5%,Rp52.450,https://shopee.co.id/product/139240156/23464751240,https://s.shopee.co.id/2fv58nufxQ
21295527150,KAOS DISTRO DEWASA 4 PCS 70RB COWOK CEWEK UNISEX BAHAN KATUN 30s,Rp80.000,"12,8RB",MOTEGI.Clothes,7%,Rp5.600,https://shopee.co.id/product/1048500176/21295527150,https://s.shopee.co.id/2qEVL6u2cT
19296435313,PROMO Bundling Beli 1 Dapat 3 Tas Selempang PEGE Slingbag - PG Bundling 10,Rp47.850,"11,2RB",PEGE Official,9%,Rp4.307,https://shopee.co.id/product/57455462/19296435313,https://s.shopee.co.id/30XvXPtPHW
9464146497,"IPHONE 11 256GB, 128GB, 64GB LIKE NEW!!!!100% ORIGINAL DAN GARANSI 1 TAHUN!!!",Rp2.599.000,648,Ibgadgetstore,2.5%,Rp64.975,https://shopee.co.id/product/402809779/9464146497,https://s.shopee.co.id/3ArLjislwZ
24521659042,PURPOSE - Cargo Pendek Pria Matt Fleece Polos,Rp58.900,"22,9RB",Purpose Official Store,12%,Rp7.068,https://shopee.co.id/product/1098236350/24521659042,https://s.shopee.co.id/3LAlw1s8bc
26916409105,CCTV Pro Kamera HD 1080P CCTV Wifi CCTV Satu Paket Lengkap  Dual Lens Outdoor Waterproof Night Vision 360 Degree Panoramic Surveillance Dengan Audio Dan Speaker Wireless Lampu,Rp85.000,6RB,MANGO COCO,10.5%,Rp8.925,https://shopee.co.id/product/1208681949/26916409105,https://s.shopee.co.id/3VUC8KrVGf
27507456144,"NEXTFUN 10"" TABLET WINDOWS RAM 4GB ROM 128GB 2IN1 LAPTOP TOUCH SCREEN INTEL QUAD CORE PROCESSOR",Rp2.690.000,195,NEXTFUN Official Store,0.5%,Rp13.450,https://shopee.co.id/product/1310771189/27507456144,https://s.shopee.co.id/3fncKdqrvi
28712146920,Xiaomi 14T (12/256) (12/512) | Leica Summilux Optical Lens | MediaTek Dimensity 8300-Ultra | 144Hz AI display [Official Store],Rp6.499.000,"3,8RB",Xiaomi Official Store,1.5%,Rp97.485,https://shopee.co.id/product/51925611/28712146920,https://s.shopee.co.id/3q72WwqEal
